WWII_ID,MASTER_INDEX_NUMBER,MSNDATE,NAF,TGT_COUNTRY,TGT_TYPE,TGT_INDUSTRY,LATITUDE,LONGITUDE,AIRCRAFT_NAME,TGT_PRIORITY,AC_ATTACKING,ALTITUDE,TONS_OF_HE,TONS_OF_IC,TONS_OF_FRAG,TOTAL_TONS,SIGHTING_EXPLANATION
124515,158710.0,1942-07-12,9,GERMANY,CITY AREA,CITIES TOWNS AND URBAN AREAS,48.13,11.58,B17,4.0,14.0,250.0,14.0,21.0,0.0,35.0,F.F.F.
131180,93021.0,1942-10-21,9,FRANCE,MANPERTUS AD,AIR FIELDS AND AIRDROMES,49.63,-1.62,B17,4.0,5.0,75.4,8.0,0.0,0.0,8.0,NOT INDICATED
131181,193136.0,1942-10-21,9,FRANCE,MANPERTUS AD,AIR FIELDS AND AIRDROMES,49.63,-1.62,B17,4.0,5.0,75.4,8.0,0.0,0.0,8.0,NOT INDICATED
131182,193137.0,1942-10-21,9,FRANCE,MANPERTUS AD,AIR FIELDS AND AIRDROMES,49.63,-1.62,B17,4.0,5.0,75.4,8.0,0.0,0.0,8.0,NOT INDICATED
140050,93208.0,1943-01-23,8,FRANCE,TORPEDO STOREHOUSE,SUPPLY DUMPS AND WAREHOUSES,47.75,-3.35,B17,4.0,6.0,230.0,10.0,0.0,0.0,10.0,NOT INDICATED
140051,93209.0,1943-01-23,8,FRANCE,TORPEDO STOREHOUSE,SUPPLY DUMPS AND WAREHOUSES,47.75,-3.35,B17,4.0,6.0,230.0,10.0,0.0,0.0,10.0,NOT INDICATED
140052,93210.0,1943-01-23,8,FRANCE,TORPEDO STOREHOUSE,SUPPLY DUMPS AND WAREHOUSES,47.75,-3.35,B17,4.0,7.0,230.0,13.0,0.0,0.0,13.0,NOT INDICATED
140047,93211.0,1943-01-23,8,FRANCE,TORPEDO STOREHOUSE,SUPPLY DUMPS AND WAREHOUSES,47.75,-3.35,B17,4.0,3.0,240.0,3.0,0.0,0.0,3.0,NOT INDICATED
140053,93212.0,1943-01-23,8,FRANCE,TORPEDO STOREHOUSE,SUPPLY DUMPS AND WAREHOUSES,47.75,-3.35,B17,4.0,7.0,230.0,13.0,0.0,0.0,13.0,NOT INDICATED
140040,93216.0,1943-01-23,9,FRANCE,UNIDENTIFIED TARGET,UNIDENTIFIED TARGETS,48.4,-4.5,B17,4.0,7.0,240.0,13.0,0.0,0.0,13.0,NOT INDICATED
140041,158804.0,1943-01-23,9,FRANCE,UNIDENTIFIED TARGET,UNIDENTIFIED TARGETS,48.4,-4.5,B17,4.0,7.0,240.0,13.0,0.0,0.0,13.0,NOT INDICATED
140042,158806.0,1943-01-23,9,FRANCE,UNIDENTIFIED TARGET,UNIDENTIFIED TARGETS,48.4,-4.5,B17,4.0,7.0,240.0,13.0,0.0,0.0,13.0,NOT INDICATED
140045,193533.0,1943-01-23,8,FRANCE,DRY DOCK,SHIP BUILDING,48.4,-4.5,B17,3.0,5.0,240.0,8.0,0.0,0.0,8.0,NOT INDICATED
140046,193536.0,1943-01-23,8,FRANCE,DRY DOCK,SHIP BUILDING,48.4,-4.5,B17,3.0,5.0,240.0,8.0,0.0,0.0,8.0,NOT INDICATED
140054,193545.0,1943-01-23,8,FRANCE,TORPEDO STOREHOUSE,SUPPLY DUMPS AND WAREHOUSES,47.75,-3.35,B17,4.0,6.0,230.0,10.0,0.0,0.0,10.0,NOT INDICATED
140055,193546.0,1943-01-23,8,FRANCE,TORPEDO STOREHOUSE,SUPPLY DUMPS AND WAREHOUSES,47.75,-3.35,B17,4.0,6.0,230.0,10.0,0.0,0.0,10.0,NOT INDICATED
140056,193547.0,1943-01-23,8,FRANCE,TORPEDO STOREHOUSE,SUPPLY DUMPS AND WAREHOUSES,47.75,-3.35,B17,4.0,7.0,230.0,13.0,0.0,0.0,13.0,NOT INDICATED
140048,193548.0,1943-01-23,8,FRANCE,TORPEDO STOREHOUSE,SUPPLY DUMPS AND WAREHOUSES,47.75,-3.35,B17,4.0,3.0,240.0,3.0,0.0,0.0,3.0,NOT INDICATED
140057,193549.0,1943-01-23,8,FRANCE,TORPEDO STOREHOUSE,SUPPLY DUMPS AND WAREHOUSES,47.75,-3.35,B17,4.0,7.0,230.0,13.0,0.0,0.0,13.0,NOT INDICATED
140058,193554.0,1943-01-23,8,FRANCE,TORPEDO STOREHOUSE,SUPPLY DUMPS AND WAREHOUSES,47.75,-3.35,B17,4.0,6.0,230.0,10.0,0.0,0.0,10.0,NOT INDICATED
140059,193555.0,1943-01-23,8,FRANCE,TORPEDO STOREHOUSE,SUPPLY DUMPS AND WAREHOUSES,47.75,-3.35,B17,4.0,6.0,230.0,10.0,0.0,0.0,10.0,NOT INDICATED
140060,193556.0,1943-01-23,8,FRANCE,TORPEDO STOREHOUSE,SUPPLY DUMPS AND WAREHOUSES,47.75,-3.35,B17,4.0,7.0,230.0,13.0,0.0,0.0,13.0,NOT INDICATED
140049,193557.0,1943-01-23,8,FRANCE,TORPEDO STOREHOUSE,SUPPLY DUMPS AND WAREHOUSES,47.75,-3.35,B17,4.0,3.0,240.0,3.0,0.0,0.0,3.0,NOT INDICATED
140061,193558.0,1943-01-23,8,FRANCE,TORPEDO STOREHOUSE,SUPPLY DUMPS AND WAREHOUSES,47.75,-3.35,B17,4.0,7.0,230.0,13.0,0.0,0.0,13.0,NOT INDICATED
141626,93253.0,1943-02-04,8,GERMANY,UNIDENTIFIED TARGET,UNIDENTIFIED TARGETS,50.43,10.92,B17,1.0,7.0,210.0,13.0,0.0,0.0,13.0,NOT INDICATED
141627,158825.0,1943-02-04,8,GERMANY,UNIDENTIFIED TARGET,UNIDENTIFIED TARGETS,50.43,10.92,B17,1.0,7.0,210.0,13.0,0.0,0.0,13.0,NOT INDICATED
142782,93291.0,1943-02-16,9,GERMANY,UNIDENTIFIED TARGET,UNIDENTIFIED TARGETS,48.13,11.58,B17,4.0,5.0,236.0,8.0,0.0,0.0,8.0,NOT INDICATED
142783,158843.0,1943-02-16,9,GERMANY,UNIDENTIFIED TARGET,UNIDENTIFIED TARGETS,48.13,11.58,B17,4.0,5.0,236.0,8.0,0.0,0.0,8.0,NOT INDICATED
142784,158844.0,1943-02-16,9,GERMANY,UNIDENTIFIED TARGET,UNIDENTIFIED TARGETS,48.13,11.58,B17,4.0,5.0,236.0,8.0,0.0,0.0,8.0,NOT INDICATED
144341,93336.0,1943-02-26,9,GERMANY,KF BORGWARD AG,VEHICLE MFG. PLANTS,53.08,8.72,B24,4.0,9.0,220.0,14.0,0.0,0.0,14.0,NOT INDICATED
144339,93337.0,1943-02-26,9,GERMANY,KF BORGWARD AG,VEHICLE MFG. PLANTS,53.08,8.72,B24,4.0,9.0,220.0,14.0,0.0,0.0,14.0,NOT INDICATED
144340,158869.0,1943-02-26,9,GERMANY,KF BORGWARD AG,VEHICLE MFG. PLANTS,53.08,8.72,B24,4.0,9.0,220.0,14.0,0.0,0.0,14.0,NOT INDICATED
144342,158870.0,1943-02-26,9,GERMANY,KF BORGWARD AG,VEHICLE MFG. PLANTS,53.08,8.72,B24,4.0,9.0,220.0,14.0,0.0,0.0,14.0,NOT INDICATED
144724,93340.0,1943-02-27,9,FRANCE,UNIDENTIFIED TARGET,UNIDENTIFIED TARGETS,48.4,-4.5,B24,4.0,7.0,243.0,9.0,0.0,0.0,9.0,NOT INDICATED
144725,93341.0,1943-02-27,9,FRANCE,UNIDENTIFIED TARGET,UNIDENTIFIED TARGETS,48.4,-4.5,B24,4.0,5.0,243.0,6.0,0.0,0.0,6.0,NOT INDICATED
144717,93342.0,1943-02-27,9,FRANCE,UNIDENTIFIED TARGET,UNIDENTIFIED TARGETS,48.4,-4.5,B24,4.0,9.0,250.0,15.0,0.0,0.0,15.0,NOT INDICATED
144728,93343.0,1943-02-27,9,FRANCE,UNIDENTIFIED TARGET,UNIDENTIFIED TARGETS,48.4,-4.5,B17,4.0,4.0,230.0,5.0,0.0,0.0,5.0,NOT INDICATED
